person_age,person_income,person_emp_length,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio
21,9600,5.0,False,True,False,False,False,False,1000,11.14,0,0,2,10.416666666666668
25,9600,1.0,False,False,False,True,False,False,5500,12.87,1,0,3,57.291666666666664
23,65500,4.0,False,False,False,True,False,False,35000,15.23,1,0,2,53.43511450381679
24,54400,8.0,False,False,False,True,False,False,35000,14.27,1,1,4,64.33823529411765
21,9900,2.0,False,False,False,False,False,True,2500,7.14,1,0,2,25.252525252525253
26,77100,8.0,False,True,False,False,False,False,35000,12.42,1,0,3,45.39559014267186
24,78956,5.0,False,False,False,True,False,False,35000,11.11,1,0,4,44.328486752115104
24,83000,8.0,False,False,False,False,True,False,35000,8.9,1,0,2,42.168674698795186
21,10000,6.0,False,False,False,False,False,True,1600,14.74,1,0,3,16.0
22,85000,6.0,False,False,False,False,False,True,35000,10.37,1,0,4,41.17647058823529
21,10000,2.0,False,False,True,False,False,False,4500,8.63,1,0,2,45.0
23,95000,2.0,False,False,False,False,False,True,35000,7.9,1,0,2,36.84210526315789
26,108160,4.0,False,True,False,False,False,False,35000,18.39,1,0,4,32.3594674556213
23,115000,2.0,False,True,False,False,False,False,35000,7.9,0,0,4,30.434782608695656
23,500000,7.0,True,False,False,False,False,False,30000,10.65,0,0,3,6.0
23,120000,0.0,False,True,False,False,False,False,35000,7.9,0,0,4,29.166666666666668
23,92111,7.0,False,False,False,True,False,False,35000,20.25,1,0,4,37.99763329026935
23,113000,8.0,True,False,False,False,False,False,35000,18.25,1,0,4,30.973451327433626
24,10800,8.0,False,True,False,False,False,False,1750,10.99,1,0,2,16.203703703703702
25,162500,2.0,False,False,False,False,False,True,35000,7.49,0,0,4,21.53846153846154
25,137000,9.0,False,False,False,False,True,False,34800,16.77,0,1,2,25.401459854014597
22,65000,4.0,False,True,False,False,False,False,34000,17.58,1,0,4,52.307692307692314
24,10980,0.0,False,False,False,False,True,False,1500,7.29,0,0,3,13.661202185792352
22,80000,3.0,False,False,False,False,True,False,33950,14.54,1,1,4,42.4375
24,67746,8.0,False,False,True,False,False,False,33000,12.68,1,0,3,48.71136303250376
21,11000,3.0,False,False,False,False,False,True,4575,17.74,1,1,3,41.590909090909086
23,11000,0.0,False,False,False,False,True,False,1400,9.32,0,0,3,12.727272727272727
24,65000,6.0,False,False,True,False,False,False,32500,9.99,1,0,3,50.0
21,11389,5.0,False,True,False,False,False,False,4000,12.84,1,1,2,35.12160856967249
21,11520,5.0,False,False,False,True,False,False,2000,11.12,1,0,3,17.36111111111111
25,120000,2.0,False,False,False,False,False,True,32000,6.62,0,0,2,26.666666666666668
26,95000,7.0,False,False,True,False,False,False,31050,14.17,1,1,3,32.68421052631579
25,306000,2.0,True,False,False,False,False,False,24250,13.85,0,0,3,7.924836601307189
26,300000,10.0,False,False,False,True,False,False,7800,13.49,0,0,4,2.6
21,12000,5.0,False,True,False,False,False,False,2500,7.51,1,0,4,20.833333333333336
22,48000,1.0,False,True,False,False,False,False,30000,18.39,1,0,2,62.5
24,64000,8.0,True,False,False,False,False,False,30000,14.54,1,1,3,46.875
25,75000,4.0,False,False,True,False,False,False,30000,16.89,1,1,4,40.0
23,71500,3.0,True,False,False,False,False,False,30000,10.99,1,0,4,41.95804195804196
26,62050,6.0,False,False,False,True,False,False,30000,17.99,1,0,2,48.348106365834006
24,12000,4.0,False,False,False,False,False,True,2500,12.69,1,0,3,20.833333333333336
26,300000,10.0,False,False,False,False,False,True,20000,7.88,0,0,4,6.666666666666667
23,300000,1.0,False,True,False,False,False,False,24250,19.41,0,1,2,8.083333333333332
26,300000,9.0,False,False,True,False,False,False,10000,10.38,0,0,4,3.3333333333333335
26,300000,0.0,False,True,False,False,False,False,25000,15.33,0,0,3,8.333333333333332
25,300000,9.0,False,False,True,False,False,False,18000,16.45,0,0,3,6.0
26,80690,8.0,False,False,False,False,True,False,30000,7.49,1,0,3,37.179328293468835
22,66300,4.0,False,False,False,True,False,False,30000,12.69,1,0,3,45.248868778280546
26,89028,0.0,True,False,False,False,False,False,30000,6.62,1,0,3,33.69726378218088
24,78000,4.0,True,False,False,False,False,False,30000,10.99,1,1,4,38.46153846153847
23,78000,7.0,True,False,False,False,False,False,30000,18.62,1,1,3,38.46153846153847
23,92004,6.0,False,False,False,False,True,False,30000,15.23,1,1,3,32.60727794443719
23,97000,7.0,False,False,False,False,False,True,30000,10.65,1,0,2,30.927835051546392
25,120000,9.0,False,True,False,False,False,False,30000,7.9,0,0,4,25.0
26,280000,4.0,False,False,False,False,True,False,10000,15.96,0,1,3,3.571428571428571
26,277104,0.0,False,False,False,False,False,True,20000,11.48,0,0,3,7.217506784456377
